Table Code,State Code,District Code,Area Name,Total/ Rural/ Urban,Age group,Worked for 3 months or more but less than 6 months -  Persons,Worked for 3 months or more but less than 6 months - Males,Worked for 3 months or more but less than 6 months - Females,Worked for less than 3 months - Persons,Worked for less than 3 months - Males,Worked for less than 3 months - Females,Industrial Category - A - Cultivators - Persons,Industrial Category - A - Cultivators - Males,Industrial Category - A - Cultivators - Females,Industrial Category - A - Agricultural labourers - Persons,Industrial Category - A - Agricultural labourers - Males,Industrial Category - A - Agricultural labourers - Females,"Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Persons","Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Males","Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Females",Industrial Category - B - Persons,Industrial Category - B - Males,Industrial Category - B - Females,Industrial Category - C - HHI - Persons,Industrial Category - C - HHI - Males,Industrial Category - C - HHI - Females,Industrial Category - C - Non HHI - Persons,Industrial Category - C - Non HHI - Males,Industrial Category - C - Non HHI - Females,Industrial Category - D & E - Persons,Industrial Category - D & E - Males,Industrial Category - D & E - Females,Industrial Category - F - Persons,Industrial Category - F - Males,Industrial Category - F - Females,Industrial Category - G - HHI - Persons,Industrial Category - G - HHI - Males,Industrial Category - G - HHI - Females,Industrial Category - G - Non HHI - Persons,Industrial Category - G - Non HHI - Males,Industrial Category - G - Non HHI - Females,Industrial Category - H - Persons,Industrial Category - H - Males,Industrial Category - H - Females,Industrial Category - I - Persons,Industrial Category - I - Males,Industrial Category - I - Females,Industrial Category - J - HHI - Persons,Industrial Category - J - HHI - Males,Industrial Category - J - HHI - Females,Industrial Category - J - Non HHI - Persons,Industrial Category - J - Non HHI - Males,Industrial Category - J - Non HHI - Females,Industrial Category - K to M - Persons,Industrial Category - K to M - Males,Industrial Category - K to M - Females,Industrial Category - N to O - Persons,Industrial Category - N to O - Males,Industrial Category - N to O - Females,Industrial Category - P to Q - Persons,Industrial Category - P to Q - Males,Industrial Category - P to Q - Females,Industrial Category - R to U - HHI - Persons,Industrial Category - R to U - HHI - Males,Industrial Category - R to U - HHI - Females,Industrial Category - R to U - Non HHI - Persons,Industrial Category - R to U - Non HHI - Males,Industrial Category - R to U - Non HHI - Females
B0806SC,`33,`000,State - TAMIL NADU,Rural,60+,97011,52498,44513,22446,10902,11544,7425,4835,2590,95151,50192,44959,2608,1564,1044,108,75,33,1689,863,826,1211,760,451,37,27,10,5749,2290,3459,0,0,0,686,428,258,86,70,16,143,101,42,0,0,0,36,36,0,37,35,2,287,208,79,66,34,32,1022,365,657,3116,1517,1599
B0806SC,`33,`000,State - TAMIL NADU,Rural,Age not stated,748,379,369,124,51,73,37,17,20,510,217,293,12,12,0,0,0,0,8,8,0,46,28,18,0,0,0,54,28,26,0,0,0,13,11,2,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,6,6,6,0,9,0,9,150,82,68
B0806SC,`33,`000,State - TAMIL NADU,Urban,Total,234183,129265,104918,46943,25705,21238,4598,2443,2155,83054,40713,42341,9652,5235,4417,1125,671,454,6137,2317,3820,26058,16116,9942,1050,751,299,39709,29009,10700,27,27,0,11505,7889,3616,9218,8820,398,2667,1962,705,23,10,13,1630,1162,468,2275,1975,300,7524,5503,2021,4933,1683,3250,5177,1100,4077,64764,27584,37180
B0806SC,`33,`000,State - TAMIL NADU,Urban,`5-14,10552,5412,5140,470,262,208,267,141,126,393,208,185,46,27,19,3,3,0,40,20,20,267,133,134,3,3,0,192,140,52,0,0,0,148,115,33,36,36,0,12,9,3,0,0,0,12,9,3,3,3,0,21,10,11,48,30,18,142,54,88,9389,4733,4656
B0806SC,`33,`000,State - TAMIL NADU,Urban,15-34,107493,60985,46508,20449,11975,8474,1930,945,985,28535,14346,14189,2743,1534,1209,442,296,146,2560,851,1709,15394,9391,6003,464,374,90,17203,13690,3513,13,13,0,5862,4221,1641,4857,4681,176,1147,984,163,18,7,11,1249,860,389,1194,997,197,3660,2634,1026,2991,998,1993,2461,474,1987,35219,15664,19555
B0806SC,`33,`000,State - TAMIL NADU,Urban,35-59,97781,52384,45397,21280,10883,10397,1893,1040,853,43905,20593,23312,5437,2762,2675,554,293,261,2974,1182,1792,9329,5845,3484,492,327,165,19766,13512,6254,12,12,0,4726,3119,1607,4086,3885,201,1341,873,468,2,0,2,344,273,71,977,880,97,3272,2384,888,1749,596,1153,2136,454,1682,16066,5237,10829
B0806SC,`33,`000,State - TAMIL NADU,Urban,60+,18092,10335,7757,4719,2563,2156,505,316,189,10174,5538,4636,1420,906,514,126,79,47,560,264,296,1041,730,311,88,44,44,2508,1636,872,2,2,0,764,434,330,236,215,21,167,96,71,3,3,0,25,20,5,98,92,6,565,469,96,145,59,86,435,118,317,3949,1877,2072
B0806SC,`33,`000,State - TAMIL NADU,Urban,Age not stated,265,149,116,25,22,3,3,1,2,47,28,19,6,6,0,0,0,0,3,0,3,27,17,10,3,3,0,40,31,9,0,0,0,5,0,5,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,6,6,0,0,0,0,3,0,3,141,73,68
B0806SC,`33,`602,District - Thiruvallur,Total,Total,74448,39295,35153,15866,8004,7862,3066,1663,1403,42579,20345,22234,1519,1025,494,63,47,16,1529,755,774,8114,5484,2630,245,169,76,12187,6604,5583,12,12,0,1873,1223,650,2030,1951,79,447,336,111,13,11,2,335,239,96,426,392,34,1756,1320,436,770,242,528,1220,336,884,12130,5145,6985
B0806SC,`33,`602,District - Thiruvallur,Total,`5-14,2521,1284,1237,147,82,65,122,56,66,330,154,176,12,12,0,0,0,0,17,3,14,126,73,53,0,0,0,49,35,14,0,0,0,15,9,6,6,6,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,6,15,0,15,38,21,17,1929,994,935
B0806SC,`33,`602,District - Thiruvallur,Total,15-34,33568,18049,15519,6529,3654,2875,1225,632,593,15591,7257,8334,570,387,183,27,21,6,649,337,312,5487,3630,1857,136,93,43,4866,2963,1903,6,6,0,870,662,208,1183,1142,41,237,201,36,5,5,0,263,177,86,209,197,12,946,724,222,494,183,311,536,156,380,6797,2930,3867
B0806SC,`33,`602,District - Thiruvallur,Total,35-59,32568,16771,15797,7718,3529,4189,1414,792,622,22192,10446,11746,788,532,256,36,26,10,699,320,379,2310,1637,673,103,70,33,6312,3180,3132,6,6,0,834,479,355,805,774,31,188,127,61,8,6,2,66,56,10,193,171,22,729,531,198,243,59,184,569,144,425,2791,944,1847
B0806SC,`33,`602,District - Thiruvallur,Total,60+,5716,3147,2569,1465,739,726,305,183,122,4441,2476,1965,149,94,55,0,0,0,164,95,69,173,136,37,6,6,0,951,423,528,0,0,0,154,73,81,30,23,7,22,8,14,0,0,0,3,3,0,21,21,0,75,65,10,18,0,18,77,15,62,592,265,327
B0806SC,`33,`602,District - Thiruvallur,Total,Age not stated,75,44,31,7,0,7,0,0,0,25,12,13,0,0,0,0,0,0,0,0,0,18,8,10,0,0,0,9,3,6,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,21,12,9
B0806SC,`33,`602,District - Thiruvallur,Rural,Total,55577,28082,27495,12131,5653,6478,2804,1511,1293,39766,18860,20906,1262,852,410,38,26,12,1080,528,552,4748,3114,1634,160,98,62,8302,3556,4746,12,12,0,848,560,288,950,922,28,186,136,50,6,6,0,114,66,48,158,146,12,780,558,222,312,120,192,708,202,506,5474,2462,3012
B0806SC,`33,`602,District - Thiruvallur,Rural,`5-14,1424,743,681,114,61,53,99,43,56,319,149,170,12,12,0,0,0,0,12,0,12,104,62,42,0,0,0,44,30,14,0,0,0,6,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,18,10,8,912,492,420
B0806SC,`33,`602,District - Thiruvallur,Rural,15-34,23965,12377,11588,4713,2443,2270,1109,566,543,14527,6700,7827,484,326,158,18,12,6,468,242,226,3398,2210,1188,86,52,34,3204,1622,1582,6,6,0,372,314,58,588,580,8,112,92,20,0,0,0,84,46,38,98,98,0,456,350,106,222,102,120,314,112,202,3132,1390,1742
B0806SC,`33,`602,District - Thiruvallur,Rural,35-59,25421,12417,13004,6104,2574,3530,1320,740,580,20723,9675,11048,650,444,206,20,14,6,456,202,254,1148,774,374,74,46,28,4336,1664,2672,6,6,0,412,214,198,346,330,16,66,42,24,6,6,0,30,20,10,60,48,12,288,178,110,82,18,64,324,80,244,1178,490,688
B0806SC,`33,`602,District - Thiruvallur,Rural,60+,4718,2516,2202,1193,575,618,276,162,114,4175,2327,1848,116,70,46,0,0,0,144,84,60,82,60,22,0,0,0,712,240,472,0,0,0,58,32,26,4,0,4,8,2,6,0,0,0,0,0,0,0,0,0,36,30,6,2,0,2,52,0,52,246,84,162
B0806SC,`33,`602,District - Thiruvallur,Rural,Age not stated,49,29,20,7,0,7,0,0,0,22,9,13,0,0,0,0,0,0,0,0,0,16,8,8,0,0,0,6,0,6,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0
B0806SC,`33,`602,District - Thiruvallur,Urban,Total,18871,11213,7658,3735,2351,1384,262,152,110,2813,1485,1328,257,173,84,25,21,4,449,227,222,3366,2370,996,85,71,14,3885,3048,837,0,0,0,1025,663,362,1080,1029,51,261,200,61,7,5,2,221,173,48,268,246,22,976,762,214,458,122,336,512,134,378,6656,2683,3973
B0806SC,`33,`602,District - Thiruvallur,Urban,`5-14,1097,541,556,33,21,12,23,13,10,11,5,6,0,0,0,0,0,0,5,3,2,22,11,11,0,0,0,5,5,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,6,9,0,9,20,11,9,1017,502,515
B0806SC,`33,`602,District - Thiruvallur,Urban,15-34,9603,5672,3931,1816,1211,605,116,66,50,1064,557,507,86,61,25,9,9,0,181,95,86,2089,1420,669,50,41,9,1662,1341,321,0,0,0,498,348,150,595,562,33,125,109,16,5,5,0,179,131,48,111,99,12,490,374,116,272,81,191,222,44,178,3665,1540,2125
B0806SC,`33,`602,District - Thiruvallur,Urban,35-59,7147,4354,2793,1614,955,659,94,52,42,1469,771,698,138,88,50,16,12,4,243,118,125,1162,863,299,29,24,5,1976,1516,460,0,0,0,422,265,157,459,444,15,122,85,37,2,0,2,36,36,0,133,123,10,441,353,88,161,41,120,245,64,181,1613,454,1159
B0806SC,`33,`602,District - Thiruvallur,Urban,60+,998,631,367,272,164,108,29,21,8,266,149,117,33,24,9,0,0,0,20,11,9,91,76,15,6,6,0,239,183,56,0,0,0,96,41,55,26,23,3,14,6,8,0,0,0,3,3,0,21,21,0,39,35,4,16,0,16,25,15,10,346,181,165
B0806SC,`33,`602,District - Thiruvallur,Urban,Age not stated,26,15,11,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,15,6,9
B0806SC,`33,`603,District - Chennai,Total,Total,33748,19313,14435,6351,3954,2397,740,327,413,819,513,306,141,114,27,22,17,5,470,233,237,3529,2565,964,138,112,26,6234,5252,982,5,5,0,2366,1670,696,2509,2399,110,589,445,144,7,2,5,495,341,154,486,407,79,2380,1790,590,681,269,412,1153,240,913,17335,6566,10769
B0806SC,`33,`603,District - Chennai,Total,`5-14,2749,1483,1266,140,74,66,91,43,48,25,19,6,0,0,0,0,0,0,3,3,0,40,15,25,0,0,0,37,25,12,0,0,0,41,31,10,6,6,0,6,6,0,0,0,0,3,3,0,3,3,0,7,2,5,11,8,3,47,13,34,2569,1380,1189
B0806SC,`33,`603,District - Chennai,Total,15-34,17431,9836,7595,3102,1981,1121,379,153,226,390,236,154,48,36,12,6,6,0,163,99,64,2028,1454,574,49,44,5,2683,2313,370,2,2,0,1130,798,332,1164,1118,46,250,223,27,7,2,5,380,252,128,280,227,53,1186,837,349,389,151,238,571,121,450,9428,3745,5683
B0806SC,`33,`603,District - Chennai,Total,35-59,11700,6993,4707,2656,1622,1034,219,108,111,341,220,121,81,66,15,8,5,3,276,120,156,1339,1008,331,75,56,19,3149,2648,501,3,3,0,1043,757,286,1272,1214,58,321,210,111,0,0,0,104,80,24,194,168,26,988,773,215,248,95,153,435,88,347,4260,996,3264
B0806SC,`33,`603,District - Chennai,Total,60+,1799,966,833,442,266,176,50,23,27,62,37,25,12,12,0,8,6,2,25,11,14,115,86,29,11,9,2,354,257,97,0,0,0,147,84,63,64,58,6,12,6,6,0,0,0,8,6,2,9,9,0,196,175,21,33,15,18,100,18,82,1035,420,615
B0806SC,`33,`603,District - Chennai,Total,Age not stated,69,35,34,11,11,0,1,0,1,1,1,0,0,0,0,0,0,0,3,0,3,7,2,5,3,3,0,11,9,2,0,0,0,5,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,43,25,18
B0806SC,`33,`603,District - Chennai,Rural,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0806SC,`33,`603,District - Chennai,Rural,`5-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0806SC,`33,`603,District - Chennai,Rural,15-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0806SC,`33,`603,District - Chennai,Rural,35-59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0806SC,`33,`603,District - Chennai,Rural,60+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0806SC,`33,`603,District - Chennai,Rural,Age not stated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0806SC,`33,`603,District - Chennai,Urban,Total,33748,19313,14435,6351,3954,2397,740,327,413,819,513,306,141,114,27,22,17,5,470,233,237,3529,2565,964,138,112,26,6234,5252,982,5,5,0,2366,1670,696,2509,2399,110,589,445,144,7,2,5,495,341,154,486,407,79,2380,1790,590,681,269,412,1153,240,913,17335,6566,10769
B0806SC,`33,`603,District - Chennai,Urban,`5-14,2749,1483,1266,140,74,66,91,43,48,25,19,6,0,0,0,0,0,0,3,3,0,40,15,25,0,0,0,37,25,12,0,0,0,41,31,10,6,6,0,6,6,0,0,0,0,3,3,0,3,3,0,7,2,5,11,8,3,47,13,34,2569,1380,1189
B0806SC,`33,`603,District - Chennai,Urban,15-34,17431,9836,7595,3102,1981,1121,379,153,226,390,236,154,48,36,12,6,6,0,163,99,64,2028,1454,574,49,44,5,2683,2313,370,2,2,0,1130,798,332,1164,1118,46,250,223,27,7,2,5,380,252,128,280,227,53,1186,837,349,389,151,238,571,121,450,9428,3745,5683
B0806SC,`33,`603,District - Chennai,Urban,35-59,11700,6993,4707,2656,1622,1034,219,108,111,341,220,121,81,66,15,8,5,3,276,120,156,1339,1008,331,75,56,19,3149,2648,501,3,3,0,1043,757,286,1272,1214,58,321,210,111,0,0,0,104,80,24,194,168,26,988,773,215,248,95,153,435,88,347,4260,996,3264
B0806SC,`33,`603,District - Chennai,Urban,60+,1799,966,833,442,266,176,50,23,27,62,37,25,12,12,0,8,6,2,25,11,14,115,86,29,11,9,2,354,257,97,0,0,0,147,84,63,64,58,6,12,6,6,0,0,0,8,6,2,9,9,0,196,175,21,33,15,18,100,18,82,1035,420,615
B0806SC,`33,`603,District - Chennai,Urban,Age not stated,69,35,34,11,11,0,1,0,1,1,1,0,0,0,0,0,0,0,3,0,3,7,2,5,3,3,0,11,9,2,0,0,0,5,0,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,43,25,18
B0806SC,`33,`604,District - Kancheepuram,Total,Total,92015,47269,44746,17692,8655,9037,4468,2578,1890,56786,26577,30209,2223,1406,817,275,190,85,2036,931,1105,8140,4914,3226,193,135,58,13872,7506,6366,0,0,0,1688,1079,609,2408,2344,64,680,470,210,2,2,0,305,228,77,362,305,57,1976,1346,630,900,371,529,1408,356,1052,11985,5186,6799
B0806SC,`33,`604,District - Kancheepuram,Total,`5-14,2540,1308,1232,114,49,65,111,50,61,317,159,158,22,8,14,0,0,0,6,0,6,52,26,26,0,0,0,55,27,28,0,0,0,22,12,10,9,9,0,0,0,0,0,0,0,3,3,0,0,0,0,6,6,0,3,3,0,10,8,2,2038,1046,992
B0806SC,`33,`604,District - Kancheepuram,Total,15-34,40080,20955,19125,7544,3942,3602,1649,894,755,20197,9250,10947,670,422,248,127,82,45,789,314,475,5907,3468,2439,70,43,27,5793,3433,2360,0,0,0,846,580,266,1455,1442,13,386,312,74,2,2,0,243,171,72,208,168,40,1060,728,332,553,241,312,735,176,559,6934,3171,3763
B0806SC,`33,`604,District - Kancheepuram,Total,35-59,41279,20372,20907,8169,3701,4468,2147,1266,881,29662,13435,16227,1245,777,468,133,93,40,1032,486,546,2085,1359,726,117,89,28,6926,3552,3374,0,0,0,724,441,283,898,855,43,251,132,119,0,0,0,41,36,5,135,120,15,810,526,284,318,112,206,577,139,438,2347,655,1692
B0806SC,`33,`604,District - Kancheepuram,Total,60+,7960,4538,3422,1850,956,894,552,366,186,6567,3716,2851,280,193,87,15,15,0,209,131,78,87,55,32,6,3,3,1082,487,595,0,0,0,96,46,50,40,32,8,43,26,17,0,0,0,18,18,0,19,17,2,100,86,14,20,9,11,86,33,53,590,261,329
B0806SC,`33,`604,District - Kancheepuram,Total,Age not stated,156,96,60,15,7,8,9,2,7,43,17,26,6,6,0,0,0,0,0,0,0,9,6,3,0,0,0,16,7,9,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,76,53,23
B0806SC,`33,`604,District - Kancheepuram,Rural,Total,70150,34555,35595,13775,6273,7502,4083,2346,1737,52074,23986,28088,1614,964,650,128,92,36,1444,618,826,4930,2976,1954,90,56,34,9018,3962,5056,0,0,0,822,528,294,1286,1258,28,392,288,104,2,2,0,114,86,28,144,118,26,1018,620,398,480,240,240,1050,282,768,5236,2406,2830
B0806SC,`33,`604,District - Kancheepuram,Rural,`5-14,1273,638,635,84,27,57,83,34,49,296,147,149,22,8,14,0,0,0,6,0,6,34,20,14,0,0,0,42,16,26,0,0,0,18,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,850,422,428
B0806SC,`33,`604,District - Kancheepuram,Rural,15-34,29666,14837,14829,5744,2818,2926,1504,819,685,18566,8322,10244,506,308,198,64,38,26,552,202,350,3784,2236,1548,24,2,22,3838,1936,1902,0,0,0,444,302,142,866,862,4,268,222,46,2,2,0,100,72,28,114,88,26,552,358,194,332,182,150,604,154,450,3290,1550,1740
B0806SC,`33,`604,District - Kancheepuram,Rural,35-59,32392,15231,17161,6382,2660,3722,1979,1154,825,27085,12079,15006,912,534,378,58,48,10,714,312,402,1074,696,378,66,54,12,4322,1698,2624,0,0,0,322,200,122,392,376,16,104,54,50,0,0,0,2,2,0,24,24,0,436,238,198,138,52,86,380,98,282,766,272,494
B0806SC,`33,`604,District - Kancheepuram,Rural,60+,6687,3765,2922,1550,761,789,508,337,171,6089,3425,2664,168,108,60,6,6,0,172,104,68,32,18,14,0,0,0,808,310,498,0,0,0,38,14,24,22,14,8,20,12,8,0,0,0,12,12,0,6,6,0,30,24,6,4,0,4,60,24,36,262,112,150
B0806SC,`33,`604,District - Kancheepuram,Rural,Age not stated,132,84,48,15,7,8,9,2,7,38,13,25,6,6,0,0,0,0,0,0,0,6,6,0,0,0,0,8,2,6,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,68,50,18
B0806SC,`33,`604,District - Kancheepuram,Urban,Total,21865,12714,9151,3917,2382,1535,385,232,153,4712,2591,2121,609,442,167,147,98,49,592,313,279,3210,1938,1272,103,79,24,4854,3544,1310,0,0,0,866,551,315,1122,1086,36,288,182,106,0,0,0,191,142,49,218,187,31,958,726,232,420,131,289,358,74,284,6749,2780,3969
B0806SC,`33,`604,District - Kancheepuram,Urban,`5-14,1267,670,597,30,22,8,28,16,12,21,12,9,0,0,0,0,0,0,0,0,0,18,6,12,0,0,0,13,11,2,0,0,0,4,0,4,9,9,0,0,0,0,0,0,0,3,3,0,0,0,0,6,6,0,3,3,0,4,2,2,1188,624,564
B0806SC,`33,`604,District - Kancheepuram,Urban,15-34,10414,6118,4296,1800,1124,676,145,75,70,1631,928,703,164,114,50,63,44,19,237,112,125,2123,1232,891,46,41,5,1955,1497,458,0,0,0,402,278,124,589,580,9,118,90,28,0,0,0,143,99,44,94,80,14,508,370,138,221,59,162,131,22,109,3644,1621,2023
